subject,category,question,options,correct,difficulty,source,id
General Knowledge,Art,Anna Mary Robinson - famous American painter - what name?,"[""Georgia O'Keeffe"", 'Grandma Moses', 'Mary Cassatt', 'Helen Frankenthaler']",1,Medium,"10,000 General Knowledge Questions",Q_0277
General Knowledge,Art,Rene Lalique - Art Nouveau designer worked what material?,"['Metal', 'Glass', 'Wood', 'Ceramic']",1,Hard,"10,000 General Knowledge Questions",Q_0278
General Knowledge,History,King Zog ruled which country?,"['Bulgaria', 'Romania', 'Albania', 'Yugoslavia']",2,Medium,"10,000 General Knowledge Questions",Q_0279
General Knowledge,History,"Who sailed in Nina, Pinta and Santa Maria?","['Vasco da Gama', 'Christopher Columbus', 'Ferdinand Magellan', 'Captain Cook']",1,Easy,"10,000 General Knowledge Questions",Q_0280
General Knowledge,History,Which leader died in St Helena?,"['Julius Caesar', 'Alexander Great', 'Napoleon Bonaparte', 'Winston Churchill']",2,Medium,"10,000 General Knowledge Questions",Q_0281
General Knowledge,History,Who sailed in Golden Hind?,"['Captain Cook', 'Sir Francis Drake', 'Admiral Nelson', 'Sir Walter Raleigh']",1,Medium,"10,000 General Knowledge Questions",Q_0282
General Knowledge,History,In which war was charge of Light Brigade?,"['Napoleonic Wars', 'Crimean War', 'American Civil War', 'Boer War']",1,Medium,"10,000 General Knowledge Questions",Q_0283
General Knowledge,History,Name legless fighter pilot of WW2?,"['Guy Gibson', 'Douglas Bader', 'Johnnie Johnson', 'Adolph Malan']",1,Medium,"10,000 General Knowledge Questions",Q_0284
General Knowledge,History,Who was nicknamed The Desert Fox?,"['Montgomery', 'Erwin Rommel', 'Guderian', 'Patton']",1,Medium,"10,000 General Knowledge Questions",Q_0285
General Knowledge,History,What aid to archaeologists from 197 bc found in Egypt 1799?,"['Papyrus scrolls', 'Rosetta Stone', 'Hieroglyphic tablets', 'Mummy cases']",1,Medium,"10,000 General Knowledge Questions",Q_0286
General Knowledge,History,Who was jeweller to Russian Court famous for Easter eggs?,"['Cartier', 'Faberge', 'Tiffany', 'Bulgari']",1,Medium,"10,000 General Knowledge Questions",Q_0287
General Knowledge,History,Which country had Dauphin as ruler?,"['England', 'Spain', 'France', 'Italy']",2,Medium,"10,000 General Knowledge Questions",Q_0288
General Knowledge,History,Who ran through streets naked crying Eureka?,"['Pythagoras', 'Archimedes', 'Aristotle', 'Plato']",1,Medium,"10,000 General Knowledge Questions",Q_0289
General Knowledge,History,What was discovered in 1922 by Howard Carter?,"['Valley of Kings', 'Tutankhamun tomb', 'Great Pyramid', 'Sphinx']",1,Medium,"10,000 General Knowledge Questions",Q_0290
General Knowledge,History,Who performed first heart transplant in South Africa?,"['Michael DeBakey', 'Christian Barnard', 'Norman Shumway', 'Richard Lower']",1,Medium,"10,000 General Knowledge Questions",Q_0291
General Knowledge,History,Portuguese had six Kings with what first name?,"['Alfonso', 'John', 'Manuel', 'Carlos']",1,Hard,"10,000 General Knowledge Questions",Q_0292
General Knowledge,History,Who sold Louisiana to USA in 1803?,"['Louis XVI', 'Napoleon', 'Robespierre', 'Talleyrand']",1,Medium,"10,000 General Knowledge Questions",Q_0293
General Knowledge,History,Which Norwegian politician's name became word for traitor?,"['Hamsun', 'Vidkun Quisling', 'Lie', 'Gerhardsen']",1,Hard,"10,000 General Knowledge Questions",Q_0294
General Knowledge,History,Crazy Horse and Sitting Bull were born in which US state?,"['Montana', 'South Dakota', 'North Dakota', 'Wyoming']",1,Hard,"10,000 General Knowledge Questions",Q_0295
General Knowledge,History,Samuel de Champlain founded which city?,"['Montreal', 'Quebec', 'Ottawa', 'Toronto']",1,Hard,"10,000 General Knowledge Questions",Q_0296
General Knowledge,History,Mau Mau were terrorists in which country late 50s early 60s?,"['Algeria', 'Kenya', 'Nigeria', 'Ghana']",1,Medium,"10,000 General Knowledge Questions",Q_0297
General Knowledge,Entertainment,What colour is Spock's blood?,"['Red', 'Blue', 'Green', 'Purple']",2,Easy,"10,000 General Knowledge Questions",Q_0298
General Knowledge,Television,On television what was Flipper?,"['Dog', 'Cat', 'Horse', 'Dolphin']",3,Easy,"10,000 General Knowledge Questions",Q_0299
General Knowledge,Television,Who starred as Six Million Dollar Man?,"['Steve Austin', 'Lee Majors', 'David Hasselhoff', 'Tom Selleck']",1,Medium,"10,000 General Knowledge Questions",Q_0300
General Knowledge,Television,What was Skippy on TV?,"['Dog', 'The bush kangaroo', 'Cat', 'Horse']",1,Medium,"10,000 General Knowledge Questions",Q_0301
General Knowledge,Television,Who played The Fugitive?,"['Richard Kimble', 'David Janssen', 'Tommy Lee Jones', 'Harrison Ford']",1,Medium,"10,000 General Knowledge Questions",Q_0302
General Knowledge,Television,What is name of Dennis the Menace's dog?,"['Ruff', 'Gnasher', 'Spot', 'Rex']",1,Easy,"10,000 General Knowledge Questions",Q_0303
General Knowledge,Television,Ringo Star narrates which children's TV series?,"['Sesame Street', 'Thomas the Tank Engine', 'Mister Rogers', 'Captain Kangaroo']",1,Medium,"10,000 General Knowledge Questions",Q_0304
General Knowledge,Entertainment,What is Dick Grayson better known as?,"['Batman', 'Robin', 'Superman', 'Flash']",1,Easy,"10,000 General Knowledge Questions",Q_0305
General Knowledge,Entertainment,Who was Dan Dare's greatest enemy in Eagle comic?,"['Mekon', 'Lex Luthor', 'Joker', 'Green Goblin']",0,Hard,"10,000 General Knowledge Questions",Q_0306
General Knowledge,Human Body,Where in body is patella?,"['Arm', 'Knee', 'Back', 'Neck']",1,Easy,"10,000 General Knowledge Questions",Q_0307
General Knowledge,Health,If you has caries who would you consult?,"['Doctor', 'Dentist', 'Optician', 'Surgeon']",1,Easy,"10,000 General Knowledge Questions",Q_0308
General Knowledge,Health,If you had pogonophobia what would you fear?,"['Heights', 'Beards', 'Spiders', 'Water']",1,Hard,"10,000 General Knowledge Questions",Q_0309
General Knowledge,Health,What does an alopecia sufferer lack?,"['Sleep', 'Hair', 'Memory', 'Appetite']",1,Medium,"10,000 General Knowledge Questions",Q_0310
General Knowledge,Health,If you had rubella what would you have caught?,"['Chicken pox', 'German Measles', 'Mumps', 'Scarlet fever']",1,Medium,"10,000 General Knowledge Questions",Q_0311
General Knowledge,Health,What is classified by ABO system?,"['Diseases', 'Blood Groups', 'Medicines', 'Viruses']",1,Medium,"10,000 General Knowledge Questions",Q_0312
General Knowledge,Health,Which part of human body contains most gold?,"['Hair', 'Toenails', 'Teeth', 'Bones']",1,Hard,"10,000 General Knowledge Questions",Q_0313
General Knowledge,Health,Consumption was former name of which disease?,"['Cancer', 'Tuberculosis', 'Pneumonia', 'Malaria']",1,Medium,"10,000 General Knowledge Questions",Q_0314
General Knowledge,Health,Who discovered blood circulation?,"['Harvey', 'William Harvey', 'Galen', 'Vesalius']",1,Medium,"10,000 General Knowledge Questions",Q_0315
General Knowledge,Health,Why is Louise Brown - born 1978 famous?,"['First clone', 'First test tube baby', 'Youngest graduate', 'Longest lived']",1,Medium,"10,000 General Knowledge Questions",Q_0316
General Knowledge,Geography,Where can you find London bridge today?,"['London England', 'USA Arizona', 'Australia', 'Canada']",1,Medium,"10,000 General Knowledge Questions",Q_0317
General Knowledge,Geography,What is largest state in USA?,"['Texas', 'Alaska', 'California', 'Montana']",1,Easy,"10,000 General Knowledge Questions",Q_0318
General Knowledge,Geography,Which country grows most fruit?,"['India', 'Brazil', 'China', 'USA']",2,Medium,"10,000 General Knowledge Questions",Q_0319
General Knowledge,Geography,What is capital of Ethiopia?,"['Nairobi', 'Addis Ababa', 'Lagos', 'Cairo']",1,Medium,"10,000 General Knowledge Questions",Q_0320
General Knowledge,Geography,What is capital of Sicily?,"['Naples', 'Palermo', 'Catania', 'Messina']",1,Hard,"10,000 General Knowledge Questions",Q_0321
General Knowledge,Geography,What is capital of Morocco?,"['Casablanca', 'Rabat', 'Marrakech', 'Fez']",1,Medium,"10,000 General Knowledge Questions",Q_0322
General Knowledge,Geography,Brisbane is state capital of which Australian state?,"['New South Wales', 'Queensland', 'Victoria', 'Western Australia']",1,Medium,"10,000 General Knowledge Questions",Q_0323
General Knowledge,Geography,"Which connects Delft, Sevres, Wedgwood, Chelsea?","['Rivers', 'Porcelain', 'Castles', 'Universities']",1,Hard,"10,000 General Knowledge Questions",Q_0324
General Knowledge,Geography,What is longest river in Italy?,"['Tiber', 'Po', 'Arno', 'Adige']",1,Medium,"10,000 General Knowledge Questions",Q_0325
General Knowledge,Geography,Venice stands on what river?,"['Po', 'Arno', 'Tiber', 'Adige']",1,Medium,"10,000 General Knowledge Questions",Q_0326
General Knowledge,Geography,Which European country is divided into Cantons?,"['Germany', 'Switzerland', 'Austria', 'Belgium']",1,Medium,"10,000 General Knowledge Questions",Q_0327
General Knowledge,Geography,Where in France do claret wines come from?,"['Champagne', 'Bordeaux', 'Burgundy', 'Loire']",1,Medium,"10,000 General Knowledge Questions",Q_0328
General Knowledge,Geography,"What links Catalonia, Andalusia, Cantabria, Galicia?","['Rivers of Spain', 'Regions of Spain', 'Mountains of Spain', 'Cities of Spain']",1,Hard,"10,000 General Knowledge Questions",Q_0329
General Knowledge,Geography,"What links Calabria, Liguria, Puglia and Veneto?","['Rivers of Italy', 'Regions of Italy', 'Mountains of Italy', 'Cities of Italy']",1,Hard,"10,000 General Knowledge Questions",Q_0330
General Knowledge,Geography,In which country would you find Negev desert?,"['Jordan', 'Israel', 'Syria', 'Egypt']",1,Medium,"10,000 General Knowledge Questions",Q_0331
General Knowledge,Geography,In what country are Drakesberg mountains?,"['Zimbabwe', 'South Africa', 'Botswana', 'Namibia']",1,Hard,"10,000 General Knowledge Questions",Q_0332
General Knowledge,Geography,What is Hindu Kush?,"['River', 'Mountain Range', 'Desert', 'Valley']",1,Medium,"10,000 General Knowledge Questions",Q_0333
General Knowledge,Geography,Calligari is capital of what island?,"['Sicily', 'Sardinia', 'Corsica', 'Crete']",1,Hard,"10,000 General Knowledge Questions",Q_0334
General Knowledge,Geography,Which American state is nicknamed Diamond State?,"['Nevada', 'Delaware', 'Arkansas', 'South Dakota']",1,Hard,"10,000 General Knowledge Questions",Q_0335
General Knowledge,Geography,What is state capitol of New Jersey?,"['Newark', 'Trenton', 'Camden', 'Jersey City']",1,Hard,"10,000 General Knowledge Questions",Q_0336
General Knowledge,Geography,Mason-Dixon line separates Pennsylvania and what state?,"['New York', 'Maryland', 'Delaware', 'New Jersey']",1,Hard,"10,000 General Knowledge Questions",Q_0337
General Knowledge,Geography,Angel falls Venezuela highest but where second highest?,"['Niagara USA', 'Yosemite USA', 'Victoria Zimbabwe', 'Iguazu Brazil']",1,Hard,"10,000 General Knowledge Questions",Q_0338
General Knowledge,Geography,Zambia and Zimbabwe used to be called what?,"['British East Africa', 'Rhodesia', 'Northern Territories', 'Southern Africa']",1,Medium,"10,000 General Knowledge Questions",Q_0339
General Knowledge,Geography,Until 1971 what was name of Zaire?,"['Belgian Congo', 'Congo', 'French Congo', 'Central Africa']",1,Medium,"10,000 General Knowledge Questions",Q_0340
General Knowledge,Geography,"What linked Armenia, Georgia, Latvia and Moldavia?","['Warsaw Pact', 'USSR', 'Comecon', 'Soviet Bloc']",1,Medium,"10,000 General Knowledge Questions",Q_0341
General Knowledge,Geography,If someone said they were from Hellas - which country?,"['Turkey', 'Greece', 'Italy', 'Cyprus']",1,Hard,"10,000 General Knowledge Questions",Q_0342
General Knowledge,Geography,City in Rajasthan has riding breeches named after it?,"['Jaipur', 'Jodhpur', 'Udaipur', 'Bikaner']",1,Medium,"10,000 General Knowledge Questions",Q_0343
General Knowledge,Geography,Where did Pied Piper play?,"['Bremen', 'Hamelin', 'Munich', 'Cologne']",1,Medium,"10,000 General Knowledge Questions",Q_0344
General Knowledge,Geography,To where in France do sick make pilgrimages?,"['Lourdes', 'Avignon', 'Chartres', 'Mont-Saint-Michel']",0,Medium,"10,000 General Knowledge Questions",Q_0345
General Knowledge,Geography,In which city was famous black hole?,"['Delhi', 'Calcutta', 'Bombay', 'Madras']",1,Medium,"10,000 General Knowledge Questions",Q_0346
General Knowledge,Geography,"What are Sirocco, Mistral and Chinook?","['Rivers', 'Winds', 'Mountains', 'Deserts']",1,Medium,"10,000 General Knowledge Questions",Q_0347
General Knowledge,Geography,Air Lingus is national airline of which country?,"['Scotland', 'Republic of Ireland', 'Wales', 'Northern Ireland']",1,Medium,"10,000 General Knowledge Questions",Q_0348
General Knowledge,Space & Science,Who was first man in space?,"['Neil Armstrong', 'Buzz Aldrin', 'Yuri Gagarin', 'John Glenn']",2,Medium,"10,000 General Knowledge Questions",Q_0349
General Knowledge,Science,Who discovered radium?,"['Einstein', 'The Curies', 'Newton', 'Darwin']",1,Medium,"10,000 General Knowledge Questions",Q_0350
General Knowledge,Inventions,Who invented television?,"['Thomas Edison', 'John Logie Baird', 'Nikola Tesla', 'Alexander Graham Bell']",1,Medium,"10,000 General Knowledge Questions",Q_0351
General Knowledge,Inventions,How did Alfred Nobel make his money?,"['Oil drilling', 'He invented Dynamite', 'Banking', 'Mining']",1,Medium,"10,000 General Knowledge Questions",Q_0352
General Knowledge,Inventions,Christopher Cockerel invented what?,"['Helicopter', 'Hovercraft', 'Hydrofoil', 'Hang glider']",1,Medium,"10,000 General Knowledge Questions",Q_0353
General Knowledge,Inventions,What did mathematician John Napier invent in 1614?,"['Calculus', 'Logarithms', 'Geometry', 'Algebra']",1,Hard,"10,000 General Knowledge Questions",Q_0354
General Knowledge,Inventions,What calculating aid invented by William Oughtred in 1662?,"['Abacus', 'Slide Rule', 'Adding machine', 'Calculator']",1,Hard,"10,000 General Knowledge Questions",Q_0355
General Knowledge,Inventions,What was invented by Dr Edward Land in 1947?,"['Television', 'Polaroid camera', 'Transistor', 'Laser']",1,Medium,"10,000 General Knowledge Questions",Q_0356
General Knowledge,Inventions,What was invented by James Dewer in 1872?,"['Refrigerator', 'Vacuum flask', 'Ice machine', 'Freezer']",1,Hard,"10,000 General Knowledge Questions",Q_0357
General Knowledge,Inventions,Whitcome Judson in 1891 invented what for fastening shoes?,"['Shoelaces', 'Zip Fastener', 'Velcro', 'Buckles']",1,Medium,"10,000 General Knowledge Questions",Q_0358
General Knowledge,Inventions,In 1656 Christian Huygens invented what type of timekeeper?,"['Digital clock', 'Pendulum clock', 'Spring watch', 'Sundial']",1,Hard,"10,000 General Knowledge Questions",Q_0359
General Knowledge,Science,Clyde Tonbaugh discovered what planet in 1930?,"['Neptune', 'Pluto', 'Uranus', 'Mars']",1,Medium,"10,000 General Knowledge Questions",Q_0360
General Knowledge,Science,What is common name for star Sirius?,"['North Star', 'Dog Star', 'Evening Star', 'Morning Star']",1,Medium,"10,000 General Knowledge Questions",Q_0361
General Knowledge,Science,What is mainly extracted from pitchblende?,"['Gold', 'Uranium', 'Silver', 'Platinum']",1,Hard,"10,000 General Knowledge Questions",Q_0362
General Knowledge,Science,Mohs scale hardest substance is diamond - what's softest?,"['Graphite', 'Talc', 'Gypsum', 'Calcite']",1,Medium,"10,000 General Knowledge Questions",Q_0363
General Knowledge,Science,What type of acid is used in car batteries?,"['Hydrochloric', 'Sulphuric', 'Nitric', 'Phosphoric']",1,Medium,"10,000 General Knowledge Questions",Q_0364
General Knowledge,Science,Kimberlite contains what precious item?,"['Gold', 'Diamonds', 'Rubies', 'Emeralds']",1,Hard,"10,000 General Knowledge Questions",Q_0365
General Knowledge,Science,In 1643 Evangalisa Torichelli invented first what?,"['Thermometer', 'Barometer', 'Telescope', 'Microscope']",1,Hard,"10,000 General Knowledge Questions",Q_0366
General Knowledge,Science,Karl Lienstater discovered which medical breakthrough in 1901?,"['X-rays', 'ABO Blood Groups', 'Penicillin', 'Insulin']",1,Hard,"10,000 General Knowledge Questions",Q_0367
General Knowledge,Science,In 1953 what was first successfully transmitted in USA?,"['Radio', 'Television', 'Colour Television', 'Telephone']",2,Medium,"10,000 General Knowledge Questions",Q_0368
General Knowledge,Science,"Gregory Pincus, John Rock, Gerhart Domangk developed what?","['Aspirin', 'Oral Contraceptive', 'Insulin', 'Antibiotics']",1,Hard,"10,000 General Knowledge Questions",Q_0369
General Knowledge,Science,What was world's first high level programming language 1957?,"['COBOL', 'IBM FORTRAN', 'BASIC', 'ALGOL']",1,Hard,"10,000 General Knowledge Questions",Q_0370
General Knowledge,Science,Linus Torwalds invented and wrote what?,"['Windows', 'Linux computer operating system', 'Internet', 'World Wide Web']",1,Medium,"10,000 General Knowledge Questions",Q_0371
General Knowledge,Science,Which country introduced world's first diesel loco in 1912?,"['Britain', 'Germany', 'USA', 'France']",1,Hard,"10,000 General Knowledge Questions",Q_0372
General Knowledge,Science,Gloucester E 28/39 first flew in 1941 - what was unusual?,"['No wings', 'Whittle Jet Engine', 'No pilot', 'Solar powered']",1,Hard,"10,000 General Knowledge Questions",Q_0373
General Knowledge,Science,In 1971 which USA space probe first to orbit another planet?,"['Viking 1', 'Mariner 9', 'Pioneer 10', 'Voyager 1']",1,Hard,"10,000 General Knowledge Questions",Q_0374
General Knowledge,Science,In 1901 who first transmitted radio signals across Atlantic?,"['Edison', 'Marconi', 'Tesla', 'Bell']",1,Medium,"10,000 General Knowledge Questions",Q_0375
General Knowledge,Science,What weapon was invented by Ernest Swinton used in 1916?,"['Machine gun', 'Tank', 'Flame thrower', 'Poison gas']",1,Medium,"10,000 General Knowledge Questions",Q_0376
General Knowledge,Science,Which medical tool was developed by Sanctorius in 1612?,"['Stethoscope', 'Thermometer', 'Syringe', 'Scalpel']",1,Hard,"10,000 General Knowledge Questions",Q_0377
General Knowledge,Science,Rene Laennac invented which aid for doctors in 1810?,"['X-ray machine', 'Stethoscope', 'Thermometer', 'Blood pressure cuff']",1,Medium,"10,000 General Knowledge Questions",Q_0378
General Knowledge,Science,In 1666 Jesuit Bark was used as prevention against what?,"['Plague', 'Malaria', 'Smallpox', 'Cholera']",1,Hard,"10,000 General Knowledge Questions",Q_0379
General Knowledge,Science,What staple food of one third of world's population?,"['Wheat', 'Rice', 'Corn', 'Potatoes']",1,Easy,"10,000 General Knowledge Questions",Q_0380
General Knowledge,Literature,Who wrote Gone with Wind?,"['Harper Lee', 'Margaret Mitchell', 'Louisa May Alcott', 'Jane Austen']",1,Medium,"10,000 General Knowledge Questions",Q_0381
General Knowledge,Literature,Eric Arthur Blair was real name of which author?,"['C.S. Lewis', 'George Orwell', 'Aldous Huxley', 'H.G. Wells']",1,Medium,"10,000 General Knowledge Questions",Q_0382
General Knowledge,Literature,Who wrote Man in Iron Mask?,"['Victor Hugo', 'Alexander Dumas', 'Voltaire', 'Balzac']",1,Medium,"10,000 General Knowledge Questions",Q_0383
General Knowledge,Literature,Who wrote Northanger Abbey?,"['Charlotte Bronte', 'Jane Austen', 'George Eliot', 'Virginia Woolf']",1,Medium,"10,000 General Knowledge Questions",Q_0384
General Knowledge,Literature,Who wrote Catch 22?,"['Norman Mailer', 'Joseph Heller', 'Kurt Vonnegut', 'Philip Roth']",1,Medium,"10,000 General Knowledge Questions",Q_0385
General Knowledge,Literature,Who wrote Gulliver's Travels?,"['Daniel Defoe', 'Jonathan Swift', 'Samuel Johnson', 'Alexander Pope']",1,Medium,"10,000 General Knowledge Questions",Q_0386
General Knowledge,Literature,Who wrote Brave New World?,"['George Orwell', 'Aldous Huxley', 'H.G. Wells', 'Isaac Asimov']",1,Medium,"10,000 General Knowledge Questions",Q_0387
General Knowledge,Literature,Who created children's land of Narnia?,"['J.R.R. Tolkien', 'C.S. Lewis', 'Roald Dahl', 'Lewis Carroll']",1,Medium,"10,000 General Knowledge Questions",Q_0388
General Knowledge,Literature,Who wrote Rights of Man and Age of Reason?,"['John Locke', 'Thomas Paine', 'Voltaire', 'Rousseau']",1,Hard,"10,000 General Knowledge Questions",Q_0389
General Knowledge,Literature,Carlo Collodi created which famous children's character?,"['Alice', 'Pinocchio', 'Peter Pan', 'Cinderella']",1,Medium,"10,000 General Knowledge Questions",Q_0390
General Knowledge,Literature,Who wrote children's novel Swallows and Amazons?,"['Enid Blyton', 'Arthur Ransome', 'Kenneth Grahame', 'E. Nesbit']",1,Hard,"10,000 General Knowledge Questions",Q_0391
General Knowledge,Literature,Edgar Rice Burroughs created which character in 1914?,"['Superman', 'Tarzan', 'Batman', 'Flash Gordon']",1,Medium,"10,000 General Knowledge Questions",Q_0392
General Knowledge,Literature,Who wrote 39 Steps?,"['Ian Fleming', 'John Buchan', 'Graham Greene', 'Eric Ambler']",1,Medium,"10,000 General Knowledge Questions",Q_0393
General Knowledge,Literature,Whose autobiography was The Long Walk to Freedom?,"['Gandhi', 'Nelson Mandela', 'Martin Luther King', 'Desmond Tutu']",1,Medium,"10,000 General Knowledge Questions",Q_0394
General Knowledge,Literature,Who wrote Thin Man in 1934?,"['Raymond Chandler', 'Dashiell Hammett', 'Agatha Christie', 'Dorothy Sayers']",1,Hard,"10,000 General Knowledge Questions",Q_0395
General Knowledge,Literature,Who wrote novel Love Story?,"['Nicholas Sparks', 'Erich Segal', 'John Green', 'Danielle Steel']",1,Hard,"10,000 General Knowledge Questions",Q_0396
General Knowledge,Literature,Who wrote about Willie Wonka and Chocolate Factory?,"['Enid Blyton', 'Roald Dahl', 'Dr. Seuss', 'Maurice Sendak']",1,Easy,"10,000 General Knowledge Questions",Q_0397
General Knowledge,Literature,Who wrote Billy Budd and Moby Dick?,"['Mark Twain', 'Herman Melville', 'Edgar Allan Poe', 'Nathaniel Hawthorne']",1,Medium,"10,000 General Knowledge Questions",Q_0398
General Knowledge,Literature,What other name is Mellor famously known by?,"['Mr. Darcy', ""Lady Chatterley's Lover"", 'Rochester', 'Heathcliff']",1,Hard,"10,000 General Knowledge Questions",Q_0399
General Knowledge,Literature,Title of whose book translates as my struggle?,"['Napoleon', 'Adolf Hitler', 'Stalin', 'Mussolini']",1,Medium,"10,000 General Knowledge Questions",Q_0400
General Knowledge,Literature,Thomas Harris created which character?,"['Sherlock Holmes', 'Hannibal Lecter', 'James Bond', 'Hercule Poirot']",1,Medium,"10,000 General Knowledge Questions",Q_0401
General Knowledge,Literature,Dodie Smith wrote what book later filmed by Disney?,"['Bambi', '101 Dalmatians', 'Lady and Tramp', 'Jungle Book']",1,Medium,"10,000 General Knowledge Questions",Q_0402
General Knowledge,Business,Which company is owned by Bill Gates?,"['Apple', 'Microsoft', 'Google', 'IBM']",1,Easy,"10,000 General Knowledge Questions",Q_0403
General Knowledge,Economics,What in business terms is IMF?,"['International Marketing Fund', 'International Monetary Fund', 'International Management Forum', 'International Money Foundation']",1,Medium,"10,000 General Knowledge Questions",Q_0404
General Knowledge,Business,In what industry did John Davidson Rockefeller get rich?,"['Steel', 'Oil', 'Railways', 'Banking']",1,Medium,"10,000 General Knowledge Questions",Q_0405
General Knowledge,Business,Which car company makes Celica?,"['Honda', 'Toyota', 'Nissan', 'Mazda']",1,Medium,"10,000 General Knowledge Questions",Q_0406
General Knowledge,Business,In 1951 which car companies introduced power steering?,"['Ford - General Motors', 'Buick - Chrysler', 'Cadillac - Lincoln', 'Chevrolet - Dodge']",1,Hard,"10,000 General Knowledge Questions",Q_0407
General Knowledge,Business,In 1901 which brand of car was seen for first time?,"['Ford', 'Mercedes', 'Rolls Royce', 'Cadillac']",1,Medium,"10,000 General Knowledge Questions",Q_0408
General Knowledge,Business,What car company made first glass fibre racing car?,"['Ferrari', 'Lotus', 'Porsche', 'Maserati']",1,Hard,"10,000 General Knowledge Questions",Q_0409
General Knowledge,Business,Which country set up world's first chemistry lab in 1650?,"['England', 'Netherlands', 'Germany', 'France']",1,Hard,"10,000 General Knowledge Questions",Q_0410
General Knowledge,Business,Henry Ford used assembly line in 1908 but someone before 1901?,"['Oldsmobile', 'Ransome Olds', 'Cadillac', 'Packard']",1,Hard,"10,000 General Knowledge Questions",Q_0411
General Knowledge,Business,Woolworth's 5/10 cent store started in which US state 1879?,"['New York', 'Lancaster Pennsylvania', 'Ohio', 'Michigan']",1,Hard,"10,000 General Knowledge Questions",Q_0412
General Knowledge,Currency,What is currency of Austria?,"['Deutsche Mark', 'Schilling', 'Franc', 'Krona']",1,Medium,"10,000 General Knowledge Questions",Q_0413
General Knowledge,Famous People,Rudy Stevens became famous under which name?,"['Marilyn Monroe', 'Barbara Stanwyck', 'Greta Garbo', 'Joan Crawford']",1,Hard,"10,000 General Knowledge Questions",Q_0414
General Knowledge,Famous People,Alan Stuart Konigsberg famous as who?,"['Groucho Marx', 'Woody Allen', 'Mel Brooks', 'Neil Simon']",1,Medium,"10,000 General Knowledge Questions",Q_0415
General Knowledge,Famous People,Benjamin Kubelsky 1894 fame as what comedian?,"['Bob Hope', 'Jack Benny', 'George Burns', 'Milton Berle']",1,Hard,"10,000 General Knowledge Questions",Q_0416
General Knowledge,Famous People,Issur Danielovitch became famous as who?,"['Tony Curtis', 'Kirk Douglas', 'Burt Lancaster', 'Rock Hudson']",1,Hard,"10,000 General Knowledge Questions",Q_0417
General Knowledge,Famous People,Robert Alan Zimmerman real name of who?,"['Leonard Cohen', 'Bob Dylan', 'Neil Young', 'Joni Mitchell']",1,Medium,"10,000 General Knowledge Questions",Q_0418
General Knowledge,Famous People,Roy Scherer jr became famous as who?,"['Cary Grant', 'Rock Hudson', 'Tab Hunter', 'Troy Donahue']",1,Hard,"10,000 General Knowledge Questions",Q_0419
General Knowledge,Famous People,Randolph Crane became famous as which cowboy actor?,"['John Wayne', 'Randolph Scott', 'Gary Cooper', 'James Stewart']",1,Hard,"10,000 General Knowledge Questions",Q_0420
General Knowledge,Famous People,Annie Mae Bullock became famous under which name?,"['Diana Ross', 'Tina Turner', 'Aretha Franklin', 'Whitney Houston']",1,Medium,"10,000 General Knowledge Questions",Q_0421
General Knowledge,Famous People,What was Erich Weiss better known as?,"['Buffalo Bill', 'Harry Houdini', 'P.T. Barnum', 'Annie Oakley']",1,Medium,"10,000 General Knowledge Questions",Q_0422
General Knowledge,Movies,Who starred as Rocky Balboa?,"['Robert De Niro', 'Al Pacino', 'Sylvester Stallone', 'Arnold Schwarzenegger']",2,Easy,"10,000 General Knowledge Questions",Q_0423
General Knowledge,Movies,Who has won most Oscars?,"['Steven Spielberg', 'Walt Disney', 'Alfred Hitchcock', 'Martin Scorsese']",1,Medium,"10,000 General Knowledge Questions",Q_0424
General Knowledge,Movies,"What 1991 film won best film, actor, actress, director Oscars?","['Goodfellas', 'Silence of the Lambs', 'JFK', 'Terminator 2']",1,Medium,"10,000 General Knowledge Questions",Q_0425
General Knowledge,Movies,What was first James Bond film?,"['From Russia with Love', 'Dr No', 'Goldfinger', 'Thunderball']",1,Medium,"10,000 General Knowledge Questions",Q_0426
General Knowledge,Movies,What was first James Bond book?,"['From Russia with Love', 'Casino Royale', 'Live and Let Die', 'Moonraker']",1,Medium,"10,000 General Knowledge Questions",Q_0427
General Knowledge,Movies,Which 1993 Disney film starred Bette Midler as witch?,"['The Witches', 'Hocus Pocus', 'Practical Magic', 'The Craft']",1,Medium,"10,000 General Knowledge Questions",Q_0428
General Knowledge,Movies,Robin Williams dressed in drag for which 1993 film?,"['The Birdcage', 'Mrs Doubtfire', 'Tootsie', 'Some Like It Hot']",1,Easy,"10,000 General Knowledge Questions",Q_0429
General Knowledge,Movies,"Who directed Dr Strangelove, 2001, The Shining?","['Alfred Hitchcock', 'Stanley Kubrick', 'Francis Ford Coppola', 'Steven Spielberg']",1,Medium,"10,000 General Knowledge Questions",Q_0430
General Knowledge,Movies,Which film had song Springtime for Hitler?,"['Cabaret', 'The Producers', 'Chicago', 'Moulin Rouge']",1,Medium,"10,000 General Knowledge Questions",Q_0431
General Knowledge,Movies,In Casablanca what is name of nightclub?,"['Blue Moon', ""Rick's"", 'Café American', 'Casa Blanca']",1,Medium,"10,000 General Knowledge Questions",Q_0432
